,BAC,C,WFC,JPM,GS,USB,PNC,TFC,FITB,STT,SCHW,MS,BLK,V
2023-06-19,28.8700008392334,47.61000061035156,41.88999938964844,142.52999877929688,330.7200012207031,33.58000183105469,126.45999908447266,31.350000381469727,26.690000534057617,73.16000366210938,53.93000030517578,86.7300033569336,690.9500122070312,226.47000122070312
2023-06-20,28.8700008392334,47.61000061035156,41.88999938964844,142.52999877929688,330.7200012207031,33.58000183105469,126.45999908447266,31.350000381469727,26.690000534057617,73.16000366210938,53.93000030517578,86.7300033569336,690.9500122070312,226.47000122070312
2023-06-21,28.56999969482422,47.40999984741211,41.650001525878906,142.32000732421875,325.07000732421875,33.43000030517578,126.66000366210938,31.5,26.5,73.02999877929688,53.970001220703125,86.33999633789062,689.0399780273438,227.25
2023-06-22,27.959999084472656,46.630001068115234,41.060001373291016,139.5800018310547,319.5799865722656,32.22999954223633,123.44000244140625,30.610000610351562,25.639999389648438,72.20999908447266,53.209999084472656,84.5,679.3800048828125,228.38999938964844
2023-06-23,27.75,46.02000045776367,40.61000061035156,138.85000610351562,314.7099914550781,31.8799991607666,123.02999877929688,30.0,25.540000915527344,71.06999969482422,53.16999816894531,83.58000183105469,680.4500122070312,229.5500030517578
2023-06-26,28.09000015258789,46.2400016784668,40.59000015258789,139.19000244140625,312.3599853515625,32.31999969482422,123.7300033569336,30.09000015258789,25.959999084472656,70.91999816894531,53.40999984741211,83.58999633789062,680.1699829101562,226.3000030517578
2023-06-27,28.239999771118164,46.400001525878906,40.90999984741211,139.1999969482422,313.45001220703125,32.54999923706055,124.01000213623047,30.489999771118164,26.18000030517578,72.58999633789062,55.220001220703125,84.43000030517578,684.6400146484375,227.33999633789062
2023-06-28,28.06999969482422,46.22999954223633,40.619998931884766,138.58999633789062,313.6600036621094,32.31999969482422,123.55999755859375,30.469999313354492,26.329999923706055,72.13999938964844,55.779998779296875,83.98999786376953,685.219970703125,227.9600067138672
2023-06-29,28.65999984741211,46.290000915527344,42.45000076293945,143.42999267578125,323.0899963378906,32.7599983215332,125.68000030517578,30.639999389648438,26.25,73.13999938964844,57.13999938964844,85.23999786376953,688.2100219726562,234.32000732421875
2023-06-30,28.690000534057617,46.040000915527344,42.68000030517578,145.44000244140625,322.5400085449219,33.040000915527344,125.94999694824219,30.350000381469727,26.209999084472656,73.18000030517578,56.68000030517578,85.4000015258789,691.1400146484375,237.47999572753906
2023-07-03,29.200000762939453,46.7400016784668,43.400001525878906,146.61000061035156,326.6099853515625,33.58000183105469,127.52999877929688,31.389999389648438,26.760000228881836,74.33999633789062,57.720001220703125,86.41000366210938,693.5800170898438,237.97000122070312
2023-07-04,29.079999923706055,46.79999923706055,43.47999954223633,144.63999938964844,320.04998779296875,33.529998779296875,126.33999633789062,30.989999771118164,26.540000915527344,73.52999877929688,56.689998626708984,85.91999816894531,692.8300170898438,239.4499969482422
2023-07-05,29.079999923706055,46.79999923706055,43.47999954223633,144.63999938964844,320.04998779296875,33.529998779296875,126.33999633789062,30.989999771118164,26.540000915527344,73.52999877929688,56.689998626708984,85.91999816894531,692.8300170898438,239.4499969482422
2023-07-06,28.280000686645508,45.380001068115234,42.88999938964844,143.2100067138672,313.0,32.9900016784668,123.87999725341797,30.81999969482422,26.31999969482422,72.8499984741211,55.959999084472656,83.33000183105469,680.6300048828125,238.8800048828125
2023-07-07,28.530000686645508,45.7400016784668,42.77000045776367,144.33999633789062,315.1700134277344,33.540000915527344,125.61000061035156,31.8799991607666,26.649999618530273,73.87999725341797,56.790000915527344,83.36000061035156,684.0999755859375,236.4499969482422
2023-07-10,28.65999984741211,45.66999816894531,42.31999969482422,145.14999389648438,316.4700012207031,33.7400016784668,125.36000061035156,32.189998626708984,26.670000076293945,74.5,57.83000183105469,83.4000015258789,696.1699829101562,238.16000366210938
2023-07-11,29.020000457763672,46.529998779296875,42.7400016784668,147.4199981689453,320.8800048828125,34.91999816894531,126.48999786376953,32.47999954223633,27.059999465942383,75.66000366210938,57.58000183105469,84.95999908447266,710.2000122070312,240.5500030517578
