,KB,우리,하나,신한
2021-07-28,52500.0,11100.0,44750.0,39700.0
2021-07-29,52600.0,11050.0,44700.0,40050.0
2021-07-30,51300.0,10850.0,43450.0,39150.0
2021-08-02,50900.0,10850.0,42800.0,38600.0
2021-08-03,51600.0,10950.0,43100.0,38750.0
2021-08-04,52700.0,11200.0,44000.0,39050.0
2021-08-05,52000.0,11050.0,43350.0,38700.0
2021-08-06,52200.0,11050.0,43250.0,38750.0
2021-08-09,53000.0,11100.0,44300.0,39100.0
2021-08-10,52300.0,11100.0,44250.0,38900.0
2021-08-11,53600.0,11250.0,45000.0,39200.0
2021-08-12,53400.0,11200.0,45300.0,39350.0
2021-08-13,53200.0,11100.0,44650.0,38900.0
2021-08-16,53200.0,11100.0,44650.0,38900.0
2021-08-17,53200.0,11050.0,44500.0,38850.0
2021-08-18,53000.0,11050.0,44550.0,39000.0
2021-08-19,51300.0,10750.0,42900.0,37550.0
2021-08-20,50800.0,10550.0,41900.0,37100.0
2021-08-23,51100.0,10700.0,42600.0,37450.0
2021-08-24,52500.0,10950.0,44250.0,38650.0
2021-08-25,53700.0,11000.0,44900.0,38950.0
2021-08-26,54200.0,11200.0,44800.0,39350.0
2021-08-27,54700.0,11350.0,45150.0,39250.0
2021-08-30,52500.0,11050.0,43650.0,38300.0
2021-08-31,52900.0,11250.0,45050.0,38850.0
2021-09-01,53100.0,11300.0,45100.0,39250.0
2021-09-02,53100.0,11250.0,44650.0,38800.0
2021-09-03,52900.0,11250.0,44650.0,38700.0
2021-09-06,51800.0,11100.0,44000.0,38500.0
2021-09-07,51400.0,11000.0,43350.0,38250.0
2021-09-08,52500.0,11100.0,44150.0,38600.0
2021-09-09,51800.0,10800.0,43950.0,38750.0
2021-09-10,51500.0,10950.0,43500.0,38250.0
2021-09-13,51800.0,11000.0,44000.0,38450.0
2021-09-14,52300.0,11100.0,45150.0,39150.0
2021-09-15,52700.0,11000.0,45100.0,38850.0
2021-09-16,52100.0,11000.0,44750.0,38750.0
2021-09-17,52100.0,11050.0,44400.0,38700.0
2021-09-20,52100.0,11050.0,44400.0,38700.0
2021-09-21,52100.0,11050.0,44400.0,38700.0
2021-09-22,52100.0,11050.0,44400.0,38700.0
2021-09-23,51500.0,11100.0,44300.0,38950.0
2021-09-24,53000.0,11150.0,44850.0,39650.0
2021-09-27,52900.0,11250.0,44650.0,39550.0
2021-09-28,54500.0,11350.0,45700.0,40150.0
2021-09-29,55200.0,11350.0,45550.0,39850.0
2021-09-30,55300.0,11650.0,46400.0,40400.0
2021-10-01,55200.0,11500.0,45850.0,39700.0
2021-10-04,55200.0,11500.0,45850.0,39700.0
2021-10-05,54800.0,11450.0,45100.0,39400.0
2021-10-06,54200.0,11500.0,44900.0,39200.0
2021-10-07,55800.0,11700.0,45450.0,39800.0
2021-10-08,55100.0,11600.0,44600.0,39100.0
2021-10-11,55100.0,11600.0,44600.0,39100.0
2021-10-12,54600.0,11700.0,44150.0,38450.0
2021-10-13,53700.0,11800.0,44050.0,38800.0
2021-10-14,54600.0,11750.0,43900.0,38900.0
2021-10-15,55800.0,11950.0,44200.0,39000.0
2021-10-18,55900.0,12000.0,44500.0,39350.0
2021-10-19,55400.0,12350.0,44450.0,39300.0
2021-10-20,56100.0,12600.0,45550.0,39800.0
2021-10-21,57400.0,12750.0,46000.0,40350.0
2021-10-22,57600.0,12750.0,46150.0,40050.0
2021-10-25,59100.0,13000.0,47300.0,40500.0
2021-10-26,59100.0,13300.0,47350.0,40700.0
2021-10-27,58600.0,13400.0,46250.0,39550.0
2021-10-28,57800.0,13200.0,45350.0,38600.0
2021-10-29,56600.0,13250.0,45000.0,38250.0
2021-11-01,56800.0,13350.0,45200.0,38300.0
2021-11-02,57000.0,13450.0,45300.0,38200.0
2021-11-03,55400.0,13300.0,44200.0,37850.0
2021-11-04,56000.0,13600.0,44450.0,37950.0
2021-11-05,55100.0,13300.0,43800.0,37600.0
2021-11-08,55300.0,13350.0,43700.0,37550.0
2021-11-09,55800.0,13250.0,44200.0,37450.0
2021-11-10,55800.0,13200.0,43750.0,37450.0
2021-11-11,55900.0,13100.0,43200.0,37250.0
2021-11-12,56400.0,13150.0,43550.0,37550.0
2021-11-15,56300.0,13450.0,43500.0,37800.0
2021-11-16,56900.0,13550.0,43850.0,38350.0
2021-11-17,55900.0,13400.0,42700.0,37450.0
2021-11-18,55800.0,13500.0,42150.0,37150.0
2021-11-19,56700.0,13100.0,42500.0,37350.0
2021-11-22,56400.0,13350.0,42400.0,37350.0
2021-11-23,57100.0,13450.0,42500.0,37300.0
2021-11-24,57600.0,13500.0,43450.0,37750.0
2021-11-25,57100.0,13500.0,42500.0,37350.0
2021-11-26,55800.0,12900.0,41750.0,36700.0
2021-11-29,55300.0,12700.0,40800.0,36300.0
2021-11-30,52800.0,12600.0,39500.0,34650.0
2021-12-01,53900.0,12450.0,40350.0,35250.0
2021-12-02,55000.0,12500.0,41350.0,36000.0
2021-12-03,57000.0,12750.0,42400.0,37050.0
2021-12-06,57000.0,12850.0,42600.0,37050.0
2021-12-07,57400.0,13050.0,43000.0,37400.0
2021-12-08,57500.0,13050.0,43200.0,37550.0
2021-12-09,57600.0,13050.0,43300.0,37650.0
2021-12-10,57900.0,13000.0,43100.0,37300.0
2021-12-13,57500.0,13150.0,43500.0,37100.0
2021-12-14,57400.0,13200.0,43600.0,37200.0
2021-12-15,57300.0,13300.0,43750.0,37100.0
2021-12-16,56600.0,13350.0,43700.0,37550.0
2021-12-17,58400.0,13550.0,44850.0,38400.0
2021-12-20,56800.0,13300.0,44050.0,37900.0
2021-12-21,57200.0,13450.0,44350.0,37850.0
2021-12-22,57100.0,13450.0,44300.0,38100.0
2021-12-23,57400.0,13450.0,44350.0,38000.0
2021-12-24,57400.0,13400.0,44450.0,37900.0
2021-12-27,56700.0,13150.0,44100.0,37900.0
2021-12-28,56800.0,13150.0,43950.0,38150.0
2021-12-29,55400.0,12850.0,42700.0,37200.0
2021-12-30,55000.0,12700.0,42050.0,36800.0
2021-12-31,55000.0,12700.0,42050.0,36800.0
2022-01-03,55300.0,12800.0,42350.0,37250.0
2022-01-04,56400.0,13000.0,42700.0,37600.0
2022-01-05,56600.0,13050.0,43000.0,37500.0
2022-01-06,55800.0,12850.0,43200.0,37300.0
2022-01-07,55700.0,13100.0,43450.0,37650.0
2022-01-10,57800.0,13950.0,45400.0,38550.0
2022-01-11,60000.0,14550.0,46700.0,39000.0
2022-01-12,61900.0,14900.0,46550.0,39750.0
2022-01-13,62300.0,15000.0,46900.0,39450.0
2022-01-14,62200.0,15000.0,46200.0,39300.0
2022-01-17,61200.0,14800.0,45100.0,38850.0
2022-01-18,61700.0,14900.0,45450.0,38900.0
2022-01-19,61900.0,15050.0,46950.0,39500.0
2022-01-20,59500.0,14800.0,45350.0,38800.0
2022-01-21,60300.0,14850.0,45550.0,39250.0
2022-01-24,58800.0,14500.0,44350.0,38350.0
2022-01-25,57100.0,14000.0,43100.0,37700.0
2022-01-26,59100.0,14350.0,44400.0,38300.0
2022-01-27,58000.0,14300.0,44100.0,38100.0
2022-01-28,59500.0,14650.0,45000.0,38150.0
2022-01-31,59500.0,14650.0,45000.0,38150.0
2022-02-01,59500.0,14650.0,45000.0,38150.0
2022-02-02,59500.0,14650.0,45000.0,38150.0
2022-02-03,59400.0,14650.0,44850.0,38600.0
2022-02-04,60900.0,15350.0,46000.0,39450.0
2022-02-07,61200.0,15100.0,46250.0,39700.0
2022-02-08,60700.0,15200.0,46150.0,39650.0
2022-02-09,63800.0,15850.0,48000.0,40600.0
2022-02-10,65500.0,15550.0,48600.0,40500.0
2022-02-11,65800.0,15150.0,51200.0,41100.0
2022-02-14,64600.0,14700.0,50000.0,40400.0
2022-02-15,64500.0,14500.0,49700.0,40450.0
2022-02-16,64600.0,14650.0,50600.0,41100.0
2022-02-17,65100.0,14900.0,52400.0,41250.0
2022-02-18,63700.0,14850.0,52100.0,41250.0
2022-02-21,63300.0,14500.0,51400.0,41250.0
2022-02-22,62600.0,14600.0,51200.0,40650.0
2022-02-23,62200.0,14400.0,50800.0,40700.0
2022-02-24,61000.0,14250.0,49550.0,39800.0
2022-02-25,58900.0,14200.0,48800.0,38950.0
2022-02-28,59700.0,14300.0,48700.0,39050.0
2022-03-01,59700.0,14300.0,48700.0,39050.0
2022-03-02,57300.0,13700.0,46450.0,38200.0
2022-03-03,58400.0,14150.0,47250.0,38550.0
2022-03-04,57500.0,13950.0,46750.0,38200.0
2022-03-07,55000.0,13450.0,45300.0,37200.0
2022-03-08,53200.0,13500.0,44300.0,36400.0
2022-03-09,53200.0,13500.0,44300.0,36400.0
2022-03-10,54600.0,14050.0,45650.0,37100.0
2022-03-11,55000.0,14050.0,46550.0,37350.0
2022-03-14,55800.0,14250.0,46400.0,37650.0
2022-03-15,56700.0,14450.0,47450.0,37900.0
2022-03-16,56900.0,14500.0,47200.0,37900.0
2022-03-17,57900.0,14650.0,47800.0,38300.0
2022-03-18,57500.0,14800.0,47750.0,38200.0
2022-03-21,57400.0,14550.0,47400.0,38200.0
2022-03-22,58600.0,14900.0,48200.0,38700.0
2022-03-23,61100.0,15100.0,49350.0,39700.0
2022-03-24,61400.0,15200.0,49750.0,39800.0
2022-03-25,60900.0,15100.0,49350.0,40100.0
2022-03-28,61200.0,15250.0,49250.0,41100.0
2022-03-29,60600.0,15450.0,49050.0,41300.0
2022-03-30,60000.0,15200.0,48450.0,41200.0
2022-03-31,61300.0,15350.0,48600.0,41500.0
2022-04-01,60800.0,15350.0,48400.0,41450.0
2022-04-04,61100.0,15300.0,48500.0,41500.0
2022-04-05,59500.0,14850.0,47100.0,40400.0
2022-04-06,59700.0,15000.0,47450.0,40800.0
2022-04-07,58200.0,15150.0,46700.0,40300.0
2022-04-08,58200.0,15200.0,46350.0,40250.0
2022-04-11,59600.0,15450.0,47000.0,41150.0
2022-04-12,59600.0,15450.0,46900.0,40950.0
2022-04-13,59700.0,15300.0,47200.0,40450.0
2022-04-14,59800.0,15400.0,47100.0,40750.0
2022-04-15,59400.0,15200.0,46900.0,40300.0
2022-04-18,59600.0,15250.0,46700.0,40150.0
2022-04-19,59700.0,15800.0,47600.0,40650.0
2022-04-20,60000.0,16000.0,47750.0,40950.0
2022-04-21,60300.0,16200.0,48050.0,41350.0
2022-04-22,61900.0,16200.0,48750.0,42150.0
2022-04-25,60000.0,15800.0,47450.0,42050.0
2022-04-26,60000.0,15700.0,47250.0,41700.0
2022-04-27,57900.0,15300.0,46250.0,41200.0
2022-04-28,59100.0,15300.0,47600.0,42450.0
2022-04-29,58500.0,14750.0,47000.0,42150.0
2022-05-02,58300.0,14950.0,46600.0,41700.0
2022-05-03,58600.0,15200.0,46250.0,41650.0
2022-05-04,59900.0,15350.0,47300.0,42500.0
2022-05-05,59900.0,15350.0,47300.0,42500.0
2022-05-06,59600.0,15300.0,47100.0,42250.0
2022-05-09,58900.0,15300.0,47500.0,42400.0
2022-05-10,58000.0,14950.0,45950.0,41100.0
2022-05-11,56900.0,14650.0,44500.0,40450.0
2022-05-12,57700.0,15050.0,44650.0,41000.0
2022-05-13,58300.0,15700.0,45900.0,42300.0
2022-05-16,58700.0,15700.0,46450.0,42350.0
2022-05-17,58000.0,15700.0,46250.0,42400.0
2022-05-18,58000.0,14900.0,46200.0,42050.0
2022-05-19,56700.0,14200.0,45300.0,40700.0
2022-05-20,57800.0,14600.0,46950.0,41700.0
2022-05-23,58300.0,14650.0,47400.0,41600.0
2022-05-24,59400.0,14800.0,47650.0,42000.0
2022-05-25,59600.0,14800.0,47850.0,42350.0
2022-05-26,59200.0,14850.0,48200.0,42350.0
2022-05-27,59800.0,14900.0,49050.0,42900.0
2022-05-30,60000.0,14950.0,49500.0,43200.0
2022-05-31,60400.0,14900.0,49500.0,43050.0
2022-06-01,60400.0,14900.0,49500.0,43050.0
2022-06-02,58200.0,14600.0,47600.0,42350.0
2022-06-03,58200.0,14600.0,47600.0,42450.0
2022-06-06,58200.0,14600.0,47600.0,42450.0
2022-06-07,57400.0,14600.0,46750.0,41700.0
2022-06-08,57400.0,14750.0,46750.0,41800.0
2022-06-09,57100.0,14900.0,46550.0,42500.0
2022-06-10,55400.0,14750.0,46000.0,42200.0
2022-06-13,53800.0,14050.0,44700.0,40550.0
2022-06-14,54800.0,14350.0,45150.0,40950.0
2022-06-15,54000.0,14000.0,44300.0,40750.0
