Date,Close_1,Close_2,Close_3,Close_4
2023-08-17,51800,11360,38000,34750
2023-08-18,52000,11380,37550,34800
2023-08-21,51800,11460,38050,35100
2023-08-22,52200,11450,38100,34950
2023-08-23,52600,11570,38800,35050
2023-08-24,53200,11600,38550,35050
2023-08-25,52500,11560,38750,35200
2023-08-28,52600,11650,39050,35550
2023-08-29,52900,11710,39400,35600
2023-08-30,52600,11690,39150,35400
2023-08-31,54100,11910,39550,35550
2023-09-01,53600,11870,39500,35450
2023-09-04,54000,11900,39850,35700
2023-09-05,53900,11900,39650,35550
2023-09-06,54300,11950,39950,35700
2023-09-07,54200,11950,40100,35700
2023-09-08,54100,12000,40150,35750
2023-09-11,55200,12100,40700,36450
2023-09-12,54800,12050,40650,36000
2023-09-13,55500,12250,41300,36750
2023-09-14,56100,12270,41650,36650
2023-09-15,57300,12590,43500,38000
2023-09-18,57200,12560,43400,37700
2023-09-19,56300,12510,43450,37550
