"시점",서울특별시,서울특별시,서울특별시,종로구,종로구,종로구,중구,중구,중구,용산구,용산구,용산구,성동구,성동구,성동구,광진구,광진구,광진구,동대문구,동대문구,동대문구,중랑구,중랑구,중랑구,성북구,성북구,성북구,강북구,강북구,강북구,도봉구,도봉구,도봉구,노원구,노원구,노원구,은평구,은평구,은평구,서대문구,서대문구,서대문구,마포구,마포구,마포구,양천구,양천구,양천구,강서구,강서구,강서구,구로구,구로구,구로구,금천구,금천구,금천구,영등포구,영등포구,영등포구,동작구,동작구,동작구,관악구,관악구,관악구,서초구,서초구,서초구,강남구,강남구,강남구,송파구,송파구,송파구,강동구,강동구,강동구
"시점",총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명)
"2021.10",107123,116512,-9389,1628,1764,-136,1515,1589,-74,2492,2921,-429,2845,3471,-626,4065,4352,-287,3520,3808,-288,4228,4538,-310,4125,4636,-511,2870,3398,-528,2981,3343,-362,4388,5208,-820,4948,5423,-475,3084,3492,-408,4288,4549,-261,4152,4522,-370,6898,7376,-478,3946,4157,-211,2858,2730,128,4436,4506,-70,4378,5219,-841,6533,7178,-645,5200,6445,-1245,7768,7257,511,8115,8300,-185,5862,6330,-468
"2021.11",108106,118660,-10554,1600,1805,-205,1489,1561,-72,2483,2739,-256,2828,3412,-584,4144,4575,-431,3513,3644,-131,4418,4933,-515,3990,4681,-691,3025,3404,-379,2804,3075,-271,4485,5247,-762,5904,5698,206,3248,3561,-313,4417,4856,-439,4037,4565,-528,6707,7278,-571,4018,4305,-287,3017,2872,145,4451,4935,-484,5494,5659,-165,6592,7451,-859,4715,6438,-1723,7208,7511,-303,8162,8593,-431,5357,5862,-505
"2021.12",112547,121776,-9229,1782,2066,-284,1566,1676,-110,2684,3128,-444,2985,3611,-626,4203,4492,-289,4415,4234,181,4506,4685,-179,4260,4906,-646,2956,3437,-481,2841,3235,-394,5707,5846,-139,5472,5453,19,3448,3972,-524,4668,4961,-293,4203,4844,-641,6498,6860,-362,3990,4258,-268,2934,2912,22,4762,4923,-161,4846,5311,-465,7297,7852,-555,4989,6073,-1084,7697,8174,-477,8398,8865,-467,5440,6002,-562
"2022.01",100675,103083,-2408,1628,1713,-85,1366,1517,-151,2423,2751,-328,2883,3348,-465,3953,3920,33,3772,3674,98,3823,3498,325,3832,4191,-359,2235,2564,-329,2153,2293,-140,4855,4904,-49,4106,4255,-149,4076,3695,381,4180,4440,-260,3864,4220,-356,5423,5669,-246,3432,3655,-223,2492,2396,96,4460,4417,43,4582,4551,31,6962,6969,-7,4433,5164,-731,7084,6886,198,7820,7333,487,4838,5060,-222
"2022.02",142156,138891,3265,2491,2406,85,1964,2103,-139,3273,3405,-132,4364,4751,-387,5764,5237,527,5773,5254,519,5525,4447,1078,8611,6764,1847,3145,3699,-554,2782,3211,-429,6361,6603,-242,4912,5334,-422,5834,5082,752,5875,5909,-34,5070,5453,-383,7121,7601,-480,4307,4549,-242,2774,2776,-2,5898,6024,-126,6480,6459,21,9547,8869,678,6045,6926,-881,9555,9398,157,12704,10137,2567,5981,6494,-513
"2022.03",122917,123192,-275,1782,2027,-245,1820,1781,39,2836,3036,-200,3737,3807,-70,5040,4769,271,4669,4467,202,5165,4641,524,6990,5634,1356,3081,3643,-562,2844,3267,-423,5379,5278,101,5051,5294,-243,4408,4275,133,5082,5274,-192,4198,4427,-229,6690,7128,-438,4250,4397,-147,2955,2687,268,5046,5175,-129,5837,5265,572,8673,8439,234,4871,5729,-858,7042,7758,-716,10025,8883,1142,5446,6111,-665
"2022.04",95228,99394,-4166,1388,1610,-222,1337,1379,-42,2693,2808,-115,2579,3040,-461,3607,3871,-264,3087,3397,-310,3844,3830,14,4104,3832,272,2513,2797,-284,2345,2764,-419,3411,4059,-648,5828,4808,1020,3053,3099,-46,3821,4464,-643,3672,4079,-407,6014,6289,-275,3386,3827,-441,2630,2507,123,3991,4256,-265,4030,4013,17,6520,6355,165,3572,4413,-841,5446,5942,-496,7398,6996,402,4959,4959,0
"2022.05",104657,107739,-3082,1565,1691,-126,1442,1464,-22,3150,3035,115,2725,3156,-431,4007,4326,-319,3450,3536,-86,4047,4179,-132,4357,4147,210,2994,3093,-99,2575,2849,-274,3806,4549,-743,5717,5112,605,3156,3226,-70,4476,4640,-164,3891,4588,-697,6830,6512,318,3686,4113,-427,3034,2761,273,4411,4626,-215,4454,4642,-188,7614,7232,382,4186,4983,-797,6201,6504,-303,7423,7483,-60,5460,5292,168
"2022.06",91205,93015,-1810,1321,1537,-216,1266,1239,27,2760,2596,164,2545,2908,-363,3455,3609,-154,2969,3053,-84,3339,3523,-184,3639,3587,52,2666,2655,11,2414,2710,-296,3476,4209,-733,4616,4592,24,2765,2733,32,3884,3788,96,3326,3678,-352,6007,5947,60,3050,3330,-280,2602,2462,140,4032,3954,78,4126,3953,173,6706,6346,360,3679,4193,-514,5740,5703,37,6242,6326,-84,4580,4384,196
"2022.07",90743,92319,-1576,1554,1625,-71,1289,1244,45,2496,2474,22,2706,2934,-228,3496,3538,-42,3068,3178,-110,3366,3547,-181,3517,3478,39,2610,2661,-51,2361,2435,-74,3490,3957,-467,4436,4565,-129,2976,2855,121,3778,3904,-126,3468,3813,-345,5590,5869,-279,3186,3318,-132,2348,2371,-23,4000,3809,191,3981,4137,-156,6635,6340,295,3921,4256,-335,6031,5667,364,6278,6269,9,4162,4075,87
