계량기수리업,-0.25%,-49.9%,0.2
계량기수입업,0.05%,9.3%,0.47
계량기제조업,-0.37%,-74.7%,0.11
계량기증명업,-1.52%,-52.44%,0.04
고압가스업,-1.52%,-3.22%,0.38
골프연습장업,-27.12%,-37.8%,0.05
골프장,-0.04%,-100.0%,0.32
공연장,-8.89%,-76.38%,0.28
관광공연장업,0.05%,74.66%,0.29
관광극장유흥업,0.02%,5.15%,0.46
관광사업자,0.86%,133.25%,0.02
관광숙박업,0.83%,19.22%,0.2
관광식당,0.07%,40.03%,0.37
관광유람선업,0.07%,39.58%,0.34
관광유흥음식점업,-0.04%,-100.0%,0.29
관광펜션업,-0.98%,-61.04%,0.01
국내여행업,21.72%,24.05%,0.34
국내외여행업,-10.83%,-27.54%,0.09
국제물류주선업,-0.41%,-76.58%,0.12
국제회의기획업,-0.27%,-23.3%,0.29
급수공사대행업,0.43%,598.69%,0.0
노래연습장업,-50.93%,-36.56%,0.02
다단계판매업체,-0.15%,-13.0%,0.38
단독정화조/오수처리시설설계시공업,-0.76%,-35.71%,0.21
단란주점영업,0.77%,1.53%,0.48
담배도매업,-0.98%,-61.05%,0.17
담배소매업,-15.94%,-1.52%,0.39
당구장업,-23.91%,-16.82%,0.25
대규모점포,-1.72%,-36.38%,0.06
대기오염물질배출시설설치사업장,-20.7%,-10.49%,0.23
대중문화예술기획업,2.29%,29.17%,0.11
도축업,0.02%,14.81%,0.44
동물미용업,26.41%,72.18%,0.0
동물병원,0.62%,5.27%,0.38
동물생산업,5955.74%,48573.13%,0.0
동물수입업,1.13%,83.02%,0.01
동물약국,16.31%,63.15%,0.0
동물용의료용구판매업,4.29%,128.58%,0.0
동물용의약품도매상,-0.67%,-29.22%,0.2
동물운송업,12.91%,144.05%,0.0
동물위탁관리업,18.97%,60.42%,0.0
동물전시업,0.73%,10.55%,0.38
동물판매업,15.54%,38.41%,0.03
목욕장업,7.01%,25.15%,0.07
무도장업,-0.23%,-26.68%,0.32
무도학원업,-2.62%,-41.13%,0.06
무료직업소개소,-2.64%,-40.48%,0.1
물류창고업체,1.87%,22.01%,0.11
미용업,119.63%,13.26%,0.08
민방위급수시설,-3.02%,-17.87%,0.12
민방위대피시설,-3.51%,-15.52%,0.42
박물관 미술관,-0.03%,-12.2%,0.47
방문판매업,-144.56%,-69.94%,0.04
배출가스전문정비사업자(확인검사대행자),0.32%,47.29%,0.19
병원,0.59%,6.92%,0.37
복합영상물제공업,-0.28%,-100.0%,0.06
복합유통게임제공업,-5.34%,-34.52%,0.19
부속의료기관,0.05%,8.42%,0.46
부화업,-0.45%,-54.35%,0.1
분뇨수집운반업,-0.23%,-26.67%,0.38
비디오물감상실업,-2.93%,-53.94%,0.11
비디오물배급업,0.62%,41.62%,0.14
비디오물소극장업,0.3%,427.43%,0.0
비디오물시청제공업,-6.44%,-94.5%,0.32
비디오물제작업,-0.93%,-8.15%,0.38
빙상장업,-0.66%,-83.99%,0.17
사료제조업,7.46%,31.71%,0.0
산후조리업,-0.52%,-19.58%,0.23
상조업,0.02%,18.13%,0.44
석연탄제조업,-0.32%,-100.0%,0.17
석유및석유대체연료판매업체,-0.29%,-100.0%,0.13
석유판매업,-3.9%,-12.62%,0.19
세탁업,10.33%,8.43%,0.22
소독업,35.15%,101.25%,0.0
수영장업,0.47%,18.41%,0.23
수질오염원설치시설(기타),-7.58%,-8.81%,0.28
숙박업,12.92%,14.12%,0.16
승강기유지관리업체,-0.02%,-1.16%,0.5
승강기제조및수입업체,0.07%,17.26%,0.4
승마장업,-0.36%,-58.88%,0.16
시내순환관광업,-0.29%,-100.0%,0.19
식용얼음판매업,-0.11%,-9.62%,0.41
식육포장처리업,13.8%,31.05%,0.01
식품냉동냉장업,0.41%,15.06%,0.26
식품소분업,15.0%,11.68%,0.21
식품운반업,-1.13%,-7.71%,0.34
식품자동판매기업,37.74%,11.63%,0.16
식품제조가공업,-40.26%,-17.65%,0.14
식품첨가물제조업,4.62%,73.76%,0.0
식품판매업(기타),0.73%,2.75%,0.42
썰매장업,-0.6%,-44.36%,0.19
쓰레기종량제봉투판매업,-11.91%,-20.61%,0.3
안경업,6.03%,25.01%,0.03
안전상비의약품 판매업소,-10.53%,-3.46%,0.37
액화석유가스용품제조업체,0.23%,26.11%,0.3
약국,1.89%,2.65%,0.39
영화배급업,-0.63%,-28.01%,0.19
영화상영관,-1.08%,-19.85%,0.31
영화상영업,-1.16%,-57.0%,0.01
영화수입업,-0.11%,-6.82%,0.47
영화제작업,0.59%,12.94%,0.32
옥외광고업,-20.57%,-20.9%,0.32
온라인음악서비스제공업,-0.13%,-50.03%,0.26
옹기류제조업,0.0%,0.08%,0.47
외국인관광도시민박업,-10.54%,-43.16%,0.02
외국인전용유흥음식점업,0.04%,3.37%,0.47
요양보호사교육기관,1.79%,147.11%,0.0
요트장업,-0.07%,-100.0%,0.25
용기·포장지제조업,0.38%,5.05%,0.4
용기냉동기특정설비,1.39%,53.04%,0.03
위탁급식영업,4.11%,4.04%,0.41
유료직업소개소,21.5%,17.18%,0.08
유원시설업(기타),-6.55%,-21.63%,0.04
유통전문판매업,41.38%,28.61%,0.02
유흥주점영업,-3.31%,-4.12%,0.39
음반.음악영상물배급업,0.29%,29.61%,0.26
음반.음악영상물제작업,0.31%,3.28%,0.46
음반물제작업,-0.49%,-100.0%,0.07
의료기관세탁물처리업,0.09%,31.03%,0.36
의료기기수리업,0.17%,2.06%,0.44
의료기기판매(임대)업,114.89%,28.57%,0.01
의료유사업,-0.05%,-0.76%,0.48
의원,-9.18%,-6.55%,0.2
이용업,8.77%,8.9%,0.22
인쇄사,-4.02%,-26.97%,0.08
인터넷컴퓨터게임시설제공업,-86.62%,-28.71%,0.05
일반게임제공업,-14.0%,-26.61%,0.01
일반야영장업,1.15%,16.72%,0.41
일반유원시설업,1.51%,75.59%,0.01
일반음식점,1151.08%,26.22%,0.0
자동차야영장업,-0.27%,-29.99%,0.29
장례지도사 교육기관,-0.13%,-50.04%,0.27
저수조청소업,-3.22%,-25.29%,0.07
전력기술감리업체,0.43%,32.47%,0.15
전력기술설계업체,-0.05%,-3.24%,0.46
전문휴양업,-0.06%,-30.76%,0.34
전화권유판매업,-6.67%,-17.94%,0.1
제과점영업,73.41%,42.35%,0.0
종축업,-0.06%,-1.67%,0.46
종합여행업,-10.45%,-40.86%,0.08
종합유원시설업,-0.07%,-100.0%,0.27
종합체육시설업,0.23%,19.97%,0.31
종합휴양업,-0.04%,-100.0%,0.32
즉석판매제조가공업,164.97%,4.41%,0.26
집단급식소,-48.47%,-25.86%,0.06
집단급식소식품판매업,3.69%,6.14%,0.36
집유업,-0.21%,-100.0%,0.11
청소년게임제공업,-36.33%,-35.98%,0.01
체력단련장업,-6.97%,-16.03%,0.23
체육도장업,-10.7%,-20.45%,0.19
축산가공업,9.22%,31.34%,0.02
축산물보관업,-0.48%,-14.26%,0.39
축산물운반업,-18.6%,-71.26%,0.09
축산판매업,-8.94%,-2.66%,0.43
출판사,-23.82%,-22.51%,0.1
치과기공소,-0.67%,-7.63%,0.36
통신판매업,-61.33%,-1.49%,0.46
특정고압가스업,-1.59%,-10.78%,0.37
한옥체험업,-0.97%,-27.05%,0.16
환경관리대행기관,-1.58%,-58.46%,0.23
환경전문공사업,-3.39%,-41.64%,0.12
환경측정대행업,-1.07%,-32.17%,0.24
환경컨설팅회사,0.21%,26.33%,0.34
후원방문판매업체,89.69%,115.82%,0.0
휴게음식점,620.39%,34.79%,0.0
---------------------------------------
가축분뇨 수집운반업,-0.23%,-8.32%,0.38
가축분뇨배출시설관리업(사업장),-1.01%,-60.34%,0.02
가축사육업,-112.53%,-27.71%,0.01
가축인공수정소,7.64%,65.27%,0.01
개인하수처리시설관리업(사업장),-0.51%,-30.5%,0.2
건강기능식품유통전문판매업,17.54%,26.2%,0.01
건강기능식품일반판매업,1029.46%,77.23%,0.0
건물위생관리업,19.5%,18.22%,0.07
건설폐기물처리업,7.65%,28.15%,0.02
게임물배급업,-5.18%,-31.06%,0.06
게임물제작업,-9.38%,-27.15%,0.05
계량기수리업,-0.52%,-19.21%,0.22
계량기수입업,-0.03%,-2.29%,0.47
계량기제조업,2.03%,55.81%,0.03
계량기증명업,-1.83%,-28.21%,0.11
고압가스업,11.99%,14.83%,0.09
골프연습장업,7.92%,48.21%,0.0
골프장,-0.27%,-100.0%,0.14
공연장,-0.11%,-1.51%,0.49
관광공연장업,-0.09%,-100.0%,0.24
관광궤도업,-0.14%,-100.0%,0.2
'shape' elements cannot be negative
관광사업자,-0.19%,-11.02%,0.42
관광숙박업,0.6%,4.86%,0.39
관광식당,-0.27%,-35.25%,0.26
관광유람선업,-0.32%,-100.0%,0.11
관광펜션업,0.08%,1.5%,0.47
국내여행업,-4.82%,-21.11%,0.11
국내외여행업,17.19%,102.26%,0.0
국제물류주선업,0.86%,6.36%,0.37
국제회의기획업,2.67%,29.08%,0.15
국제회의시설업,-0.05%,-100.0%,0.31
급수공사대행업,0.38%,5.07%,0.42
노래연습장업,-0.35%,-1.5%,0.48
다단계판매업체,-0.26%,-23.74%,0.3
단독정화조/오수처리시설설계시공업,-0.27%,-12.03%,0.37
